품목코드,ITEM CODE,Color/Category,품목명[규격],재고수량,단종여부,도매주문단위,주문제표시,품번,한글명,소요량,재고상태,재고상황,재고상태,카테고리,순서,,상품명,색상번호,색상명,재고,,
02032008,16.0092,sage,Quattro/0092,5,,,,16,콰트로,12,0.42 ,낱볼,🔴,2,10,,콰트로,16.0092,sage,🔴,,16.0092
02032009,16.0093,ivy,Quattro/0093,21,,,,16,콰트로,12,1.75 ,양호,🟢,2,10,,콰트로,16.0093,ivy,🟢,,16.0093
00000737,16.0094,offwhite,Quattro/0094,35,,,,16,콰트로,12,2.92 ,여유,🔵,2,10,,콰트로,16.0094,offwhite,🔵,,16.0094
03173001,16.0096,soil,Quattro/0096,39,,,,16,콰트로,12,3.25 ,여유,🔵,2,10,,콰트로,16.0096,soil,🔵,,16.0096
00000738,16.0097,olive,Quattro/0097,0,,,,16,콰트로,12,0.00 ,품절,❌,2,10,,콰트로,16.0097,olive,❌,,16.0097
00000739,16.0099,mud,Quattro/0099,15,,,,16,콰트로,12,1.25 ,양호,🟢,2,10,,콰트로,16.0099,mud,🟢,,16.0099
00001788,16.0109,light rose,Quattro/0109,37,,,,16,콰트로,12,3.08 ,여유,🔵,2,10,,콰트로,16.0109,light rose,🔵,,16.0109
03173002,16.0110,lapislazuli,Quattro/0110,0,,,,16,콰트로,12,0.00 ,품절,❌,2,10,,콰트로,16.0110,lapislazuli,❌,,16.0110
02205001,16.0111,mustard,Quattro/0111,14,25 SS,,,16,콰트로,12,1.17 ,양호,🟢,2,10,,콰트로,16.0111,mustard,🟢,,16.0111
00002249,16.0113,light yellow,Quattro/0113,23,,,,16,콰트로,12,1.92 ,양호,🟢,2,10,,콰트로,16.0113,light yellow,🟢,,16.0113
02104028,16.0115,cognac,Quattro/0115,20,24 SS,,,16,콰트로,12,1.67 ,양호,🟢,2,10,,콰트로,16.0115,cognac,🟢,,16.0115
00000740,16.0116,pistache,Quattro/0116,19,,,,16,콰트로,12,1.58 ,양호,🟢,2,10,,콰트로,16.0116,pistache,🟢,,16.0116
00000741,16.0117,grassgreen,Quattro/0117,30,,,,16,콰트로,12,2.50 ,여유,🔵,2,10,,콰트로,16.0117,grassgreen,🔵,,16.0117
00000742,16.0118,green,Quattro/0118,0,,,,16,콰트로,12,0.00 ,품절,❌,2,10,,콰트로,16.0118,green,❌,,16.0118
01251017,16.0119,orchid,Quattro/0119,18,,,,16,콰트로,12,1.50 ,양호,🟢,2,10,,콰트로,16.0119,orchid,🟢,,16.0119
01251018,16.0121,azure,Quattro/0121,12,,,,16,콰트로,12,1.00 ,양호,🟢,2,10,,콰트로,16.0121,azure,🟢,,16.0121
02066170,16.0126,sand,Quattro/0126,20,26 SS,,,16,콰트로,12,1.67 ,양호,🟢,2,10,,콰트로,16.0126(신상),sand,🟢,(신상),16.0126
02205002,16.0127,apricot,Quattro/0127,29,25 SS,,,16,콰트로,12,2.42 ,여유,🔵,2,10,,콰트로,16.0127,apricot,🔵,,16.0127
01251019,16.0129,flamingo,Quattro/0129,59,,,,16,콰트로,12,4.92 ,여유,🔵,2,10,,콰트로,16.0129,flamingo,🔵,,16.0129
00000743,16.0139,camel,Quattro/0139,0,,,,16,콰트로,12,0.00 ,품절,❌,2,10,,콰트로,16.0139,camel,❌,,16.0139
00003121,16.0146,middle lilac,Quattro/0146,20,,,,16,콰트로,12,1.67 ,양호,🟢,2,10,,콰트로,16.0146,middle lilac,🟢,,16.0146
00001789,16.0148,light dusky pink,Quattro/0148,28,,,,16,콰트로,12,2.33 ,여유,🔵,2,10,,콰트로,16.0148,light dusky pink,🔵,,16.0148
01251020,16.0158,mint,Quattro/0158,16,,,,16,콰트로,12,1.33 ,양호,🟢,2,10,,콰트로,16.0158,mint,🟢,,16.0158
00002256,16.0159,orange,Quattro/0159,38,,,,16,콰트로,12,3.17 ,여유,🔵,2,10,,콰트로,16.0159,orange,🔵,,16.0159
00000744,16.0165,fuchsia,Quattro/0165,10,,,,16,콰트로,12,0.83 ,양호,🟢,2,10,,콰트로,16.0165,fuchsia,🟢,,16.0165
03173003,16.0168,dark brown,Quattro/0168,20,,,,16,콰트로,12,1.67 ,양호,🟢,2,10,,콰트로,16.0168,dark brown,🟢,,16.0168
01251021,16.0172,tiffany,Quattro/0172,29,,,,16,콰트로,12,2.42 ,여유,🔵,2,10,,콰트로,16.0172,tiffany,🔵,,16.0172
00002222,16.0173,emerald,Quattro/0173,20,,,,16,콰트로,12,1.67 ,양호,🟢,2,10,,콰트로,16.0173,emerald,🟢,,16.0173
00000745,16.0175,terracotta,Quattro/0175,10,,,,16,콰트로,12,0.83 ,양호,🟢,2,10,,콰트로,16.0175,terracotta,🟢,,16.0175
00002221,16.0179,dark turquoise,Quattro/0179,20,,,,16,콰트로,12,1.67 ,양호,🟢,2,10,,콰트로,16.0179,dark turquoise,🟢,,16.0179
00001790,16.0188,petrol,Quattro/0188,50,,,,16,콰트로,12,4.17 ,여유,🔵,2,10,,콰트로,16.0188,petrol,🔵,,16.0188
02205003,16.0206,royal,Quattro/0206,14,25 SS,,,16,콰트로,12,1.17 ,양호,🟢,2,10,,콰트로,16.0206,royal,🟢,,16.0206
03173004,16.0209,rose pale,Quattro/0209,28,,,,16,콰트로,12,2.33 ,여유,🔵,2,10,,콰트로,16.0209,rose pale,🔵,,16.0209
02032010,16.0213,pale yellow,Quattro/0213,20,,,,16,콰트로,12,1.67 ,양호,🟢,2,10,,콰트로,16.0213,pale yellow,🟢,,16.0213
01251022,16.0216,apple,Quattro/0216,19,,,,16,콰트로,12,1.58 ,양호,🟢,2,10,,콰트로,16.0216,apple,🟢,,16.0216
00065,16.0217,malachite,Quattro/0217,38,,,,16,콰트로,12,3.17 ,여유,🔵,2,10,,콰트로,16.0217,malachite,🔵,,16.0217
00002699,16.0218,bottle green,Quattro/0218,20,,,,16,콰트로,12,1.67 ,양호,🟢,2,10,,콰트로,16.0218,bottle green,🟢,,16.0218
03173005,16.0229,chewing gum,Quattro/0229,2,,,,16,콰트로,12,0.17 ,낱볼,🔴,2,10,,콰트로,16.0229,chewing gum,🔴,,16.0229
02032011,16.0248,ash rose,Quattro/0248,39,,,,16,콰트로,12,3.25 ,여유,🔵,2,10,,콰트로,16.0248,ash rose,🔵,,16.0248
03173006,16.0259,tangarine,Quattro/0259,29,,,,16,콰트로,12,2.42 ,여유,🔵,2,10,,콰트로,16.0259,tangarine,🔵,,16.0259
03173007,16.0309,light rose,Quattro/0309,30,,,,16,콰트로,12,2.50 ,여유,🔵,2,10,,콰트로,16.0309,light rose,🔵,,16.0309
02205004,16.0316,moss,Quattro/0316,0,25 SS,,,16,콰트로,12,0.00 ,품절,❌,2,10,,콰트로,16.0316,moss,❌,,16.0316
03173008,16.0317,bright green,Quattro/0317,23,,,,16,콰트로,12,1.92 ,양호,🟢,2,10,,콰트로,16.0317,bright green,🟢,,16.0317
01251023,16.0318,fir,Quattro/0318,20,,,,16,콰트로,12,1.67 ,양호,🟢,2,10,,콰트로,16.0318,fir,🟢,,16.0318
02205005,16.0418,bottle green,Quattro/0418,14,25 SS,,,16,콰트로,12,1.17 ,양호,🟢,2,10,,콰트로,16.0418,bottle green,🟢,,16.0418
03173049,1112.0001,white,QuattroLame/0001,10,,,,1112,콰트로 라메,12,0.83 ,양호,🟢,2,11,,콰트로 라메,1112.0001,white,🟢,,1112.0001
02066127,1112.0002,cream,QuattroLame/0002,10,26 SS,,,1112,콰트로 라메,12,0.83 ,양호,🟢,2,11,,콰트로 라메,1112.0002(신상),cream,🟢,(신상),1112.0002
02066128,1112.0004,black,QuattroLame/0004,10,26 SS,,,1112,콰트로 라메,12,0.83 ,양호,🟢,2,11,,콰트로 라메,1112.0004(신상),black,🟢,(신상),1112.0004
02104016,1112.0007,lilac,QuattroLame/0007,9,24 SS,,,1112,콰트로 라메,12,0.75 ,낱볼,🔴,2,11,,콰트로 라메,1112.0007,lilac,🔴,,1112.0007
02066129,1112.0010,lapislazuli,QuattroLame/0010,10,26 SS,,,1112,콰트로 라메,12,0.83 ,양호,🟢,2,11,,콰트로 라메,1112.0010(신상),lapislazuli,🟢,(신상),1112.0010
03173050,1112.0011,bronze,QuattroLame/0011,18,,,,1112,콰트로 라메,12,1.50 ,양호,🟢,2,11,,콰트로 라메,1112.0011,bronze,🟢,,1112.0011
02066130,1112.0012,light yellow,QuattroLame/0012,10,26 SS,,,1112,콰트로 라메,12,0.83 ,양호,🟢,2,11,,콰트로 라메,1112.0012(신상),light yellow,🟢,(신상),1112.0012
02104017,1112.0013,yellow,QuattroLame/0013,18,24 SS,,,1112,콰트로 라메,12,1.50 ,양호,🟢,2,11,,콰트로 라메,1112.0013,yellow,🟢,,1112.0013
03173051,1112.0016,light green,QuattroLame/0016,16,,,,1112,콰트로 라메,12,1.33 ,양호,🟢,2,11,,콰트로 라메,1112.0016,light green,🟢,,1112.0016
03173052,1112.0017,green,QuattroLame/0017,65,,,,1112,콰트로 라메,12,5.42 ,여유,🔵,2,11,,콰트로 라메,1112.0017,green,🔵,,1112.0017
03173053,1112.0021,light blue,QuattroLame/0021,28,,,,1112,콰트로 라메,12,2.33 ,여유,🔵,2,11,,콰트로 라메,1112.0021,light blue,🔵,,1112.0021
02066131,1112.0024,grey,QuattroLame/0024,9,26 SS,,,1112,콰트로 라메,12,0.75 ,낱볼,🔴,2,11,,콰트로 라메,1112.0024(신상),grey,🔴,(신상),1112.0024
03173054,1112.0027,apricot,QuattroLame/0027,30,,,,1112,콰트로 라메,12,2.50 ,여유,🔵,2,11,,콰트로 라메,1112.0027,apricot,🔵,,1112.0027
02066132,1112.0028,salmon,QuattroLame/0028,10,26 SS,,,1112,콰트로 라메,12,0.83 ,양호,🟢,2,11,,콰트로 라메,1112.0028(신상),salmon,🟢,(신상),1112.0028
03173055,1112.0029,melon,QuattroLame/0029,28,,,,1112,콰트로 라메,12,2.33 ,여유,🔵,2,11,,콰트로 라메,1112.0029,melon,🔵,,1112.0029
02066133,1112.0035,blue marine,QuattroLame/0035,10,26 SS,,,1112,콰트로 라메,12,0.83 ,양호,🟢,2,11,,콰트로 라메,1112.0035(신상),blue marine,🟢,(신상),1112.0035
02104018,1112.0061,tomato,QuattroLame/0061,40,24 SS,,,1112,콰트로 라메,12,3.33 ,여유,🔵,2,11,,콰트로 라메,1112.0061,tomato,🔵,,1112.0061
02066134,1112.0062,wine red,QuattroLame/0062,10,26 SS,,,1112,콰트로 라메,12,0.83 ,양호,🟢,2,11,,콰트로 라메,1112.0062(신상),wine red,🟢,(신상),1112.0062
02104019,1112.0065,pink,QuattroLame/0065,20,24 SS,,,1112,콰트로 라메,12,1.67 ,양호,🟢,2,11,,콰트로 라메,1112.0065,pink,🟢,,1112.0065
02066135,1112.0068,dark brown,QuattroLame/0068,10,26 SS,,,1112,콰트로 라메,12,0.83 ,양호,🟢,2,11,,콰트로 라메,1112.0068(신상),dark brown,🟢,(신상),1112.0068
02066136,1112.0075,brown-orange,QuattroLame/0075,10,26 SS,,,1112,콰트로 라메,12,0.83 ,양호,🟢,2,11,,콰트로 라메,1112.0075(신상),brown-orange,🟢,(신상),1112.0075
02066137,1112.0076,terracotta,QuattroLame/0076,10,26 SS,,,1112,콰트로 라메,12,0.83 ,양호,🟢,2,11,,콰트로 라메,1112.0076(신상),terracotta,🟢,(신상),1112.0076
02104020,1112.0079,turquoise,QuattroLame/0079,20,24 SS,,,1112,콰트로 라메,12,1.67 ,양호,🟢,2,11,,콰트로 라메,1112.0079,turquoise,🟢,,1112.0079
02066138,1112.0093,ivy,QuattroLame/0093,10,26 SS,,,1112,콰트로 라메,12,0.83 ,양호,🟢,2,11,,콰트로 라메,1112.0093(신상),ivy,🟢,(신상),1112.0093
02104021,1112.0146,middle lilac,QuattroLame/0146,40,24 SS,,,1112,콰트로 라메,12,3.33 ,여유,🔵,2,11,,콰트로 라메,1112.0146,middle lilac,🔵,,1112.0146
02104038,1133.0001,white,Ortica/0001,20,24 SS,,,1133,오르티카,9,2.22 ,여유,🔵,2,12,,오르티카,1133.0001,white,🔵,,1133.0001
02104039,1133.0006,blue,Ortica/0006,16,24 SS,,,1133,오르티카,9,1.78 ,양호,🟢,2,12,,오르티카,1133.0006,blue,🟢,,1133.0006
02104040,1133.0009,rose,Ortica/0009,6,24 SS,,,1133,오르티카,9,0.67 ,낱볼,🔴,2,12,,오르티카,1133.0009,rose,🔴,,1133.0009
02104041,1133.0021,light blue,Ortica/0021,12,24 SS,,,1133,오르티카,9,1.33 ,양호,🟢,2,12,,오르티카,1133.0021,light blue,🟢,,1133.0021
02104042,1133.0026,beige,Ortica/0026,16,24 SS,,,1133,오르티카,9,1.78 ,양호,🟢,2,12,,오르티카,1133.0026,beige,🟢,,1133.0026
02104043,1133.0027,apricot,Ortica/0027,10,24 SS,,,1133,오르티카,9,1.11 ,양호,🟢,2,12,,오르티카,1133.0027,apricot,🟢,,1133.0027
02104044,1133.0046,lilac,Ortica/0046,27,24 SS,,,1133,오르티카,9,3.00 ,여유,🔵,2,12,,오르티카,1133.0046,lilac,🔵,,1133.0046
02104045,1133.0058,pistache,Ortica/0058,36,24 SS,,,1133,오르티카,9,4.00 ,여유,🔵,2,12,,오르티카,1133.0058,pistache,🔵,,1133.0058
02104046,1133.0060,red,Ortica/0060,9,24 SS,,,1133,오르티카,9,1.00 ,낱볼,🔴,2,12,,오르티카,1133.0060,red,🔴,,1133.0060
02104047,1133.0068,brown,Ortica/0068,19,24 SS,,,1133,오르티카,9,2.11 ,여유,🔵,2,12,,오르티카,1133.0068,brown,🔵,,1133.0068
02104048,1133.0078,turquoise,Ortica/0078,26,24 SS,,,1133,오르티카,9,2.89 ,여유,🔵,2,12,,오르티카,1133.0078,turquoise,🔵,,1133.0078
02104049,1133.0085,pink,Ortica/0085,9,24 SS,,,1133,오르티카,9,1.00 ,낱볼,🔴,2,12,,오르티카,1133.0085,pink,🔴,,1133.0085
03173038,1109.0006,blue,Paradise/0006,10,,5,,1109,파라다이스,4,2.50 ,여유,🔵,2,13,,파라다이스,1109.0006,blue,🔵,,1109.0006
02104080,1109.0011,mustard yellow,Paradise/0011,10,생산종료,5,,1109,파라다이스,4,2.50 ,여유,🔵,2,13,,파라다이스,1109.0011,mustard yellow,🔵,,1109.0011
03173040,1109.0013,yellow/lilac/turquoise,Paradise/0013,26,,5,,1109,파라다이스,4,6.50 ,여유,🔵,2,13,,파라다이스,1109.0013,yellow/lilac/turquoise,🔵,,1109.0013
02104081,1109.0017,green/lilac,Paradise/0017,18,24 SS,5,,1109,파라다이스,4,4.50 ,여유,🔵,2,13,,파라다이스,1109.0017,green/lilac,🔵,,1109.0017
02104082,1109.0028,salmon/light blue,Paradise/0028,10,24 SS,5,,1109,파라다이스,4,2.50 ,여유,🔵,2,13,,파라다이스,1109.0028,salmon/light blue,🔵,,1109.0028
03173041,1109.0039,camel/jeans/rose,Paradise/0039,1,,5,,1109,파라다이스,4,0.25 ,낱볼,🔴,2,13,,파라다이스,1109.0039,camel/jeans/rose,🔴,,1109.0039
02104083,1109.0047,lilac,Paradise/0047,11,24 SS,5,,1109,파라다이스,4,2.75 ,여유,🔵,2,13,,파라다이스,1109.0047,lilac,🔵,,1109.0047
02104084,1109.0048,dusky pink,Paradise/0048,7,24 SS,5,,1109,파라다이스,4,1.75 ,양호,🟢,2,13,,파라다이스,1109.0048,dusky pink,🟢,,1109.0048
03173042,1109.0059,orange/yellow/lilac,Paradise/0059,7,,5,,1109,파라다이스,4,1.75 ,양호,🟢,2,13,,파라다이스,1109.0059,orange/yellow/lilac,🟢,,1109.0059
03173043,1109.0072,aqua/lilac/rose,Paradise/0072,12,생산종료,5,,1109,파라다이스,4,3.00 ,여유,🔵,2,13,,파라다이스,1109.0072,aqua/lilac/rose,🔵,,1109.0072
02104085,1109.0092,sage,Paradise/0092,10,24 SS,5,,1109,파라다이스,4,2.50 ,여유,🔵,2,13,,파라다이스,1109.0092,sage,🔵,,1109.0092
00000278,74.7404,,ExtraEcru/7404,34,생산종료,,,74,엑스트라 에크루,10,3.40 ,여유,🔵,2,14,,엑스트라 에크루,74.7404,0,🔵,,74.7404
00000279,74.7406,,ExtraEcru/7406,19,생산종료,,,74,엑스트라 에크루,10,1.90 ,양호,🟢,2,14,,엑스트라 에크루,74.7406,0,🟢,,74.7406
00000280,74.7408,,ExtraEcru/7408,30,생산종료,,,74,엑스트라 에크루,10,3.00 ,여유,🔵,2,14,,엑스트라 에크루,74.7408,0,🔵,,74.7408
02205103,1089.0003,light grey mélange,Crealino/0003,13,25 SS,5,,1089,크레아리노,6,2.17 ,여유,🔵,3,1,,크레아리노,1089.0003,light grey mélange,🔵,,1089.0003
02205020,1089.0004,black,Crealino/0004,25,25 SS,5,,1089,크레아리노,6,4.17 ,여유,🔵,3,1,,크레아리노,1089.0004,black,🔵,,1089.0004
02205104,1089.0007,light lilac,Crealino/0007,19,25 SS,5,,1089,크레아리노,6,3.17 ,여유,🔵,3,1,,크레아리노,1089.0007,light lilac,🔵,,1089.0007
02205105,1089.0009,rose quartz,Crealino/0009,15,25 SS,5,,1089,크레아리노,6,2.50 ,여유,🔵,3,1,,크레아리노,1089.0009,rose quartz,🔵,,1089.0009
02205106,1089.0010,blue,Crealino/0010,14,25 SS,5,,1089,크레아리노,6,2.33 ,여유,🔵,3,1,,크레아리노,1089.0010,blue,🔵,,1089.0010
02205107,1089.0013,pale yellow,Crealino/0013,4,25 SS,5,,1089,크레아리노,6,0.67 ,낱볼,🔴,3,1,,크레아리노,1089.0013,pale yellow,🔴,,1089.0013
02205108,1089.0015,nougat,Crealino/0015,16,25 SS,5,,1089,크레아리노,6,2.67 ,여유,🔵,3,1,,크레아리노,1089.0015,nougat,🔵,,1089.0015
02066144,1089.0016,light green,Crealino/0016,10,26 SS,5,,1089,크레아리노,6,1.67 ,양호,🟢,3,1,,크레아리노,1089.0016(신상),light green,🟢,(신상),1089.0016
02205109,1089.0017,green,Crealino/0017,20,25 SS,5,,1089,크레아리노,6,3.33 ,여유,🔵,3,1,,크레아리노,1089.0017,green,🔵,,1089.0017
02205110,1089.0019,rose,Crealino/0019,21,25 SS,5,,1089,크레아리노,6,3.50 ,여유,🔵,3,1,,크레아리노,1089.0019,rose,🔵,,1089.0019
02066145,1089.0020,light blue,Crealino/0020,4,26 SS,5,,1089,크레아리노,6,0.67 ,낱볼,🔴,3,1,,크레아리노,1089.0020(신상),light blue,🔴,(신상),1089.0020
02205111,1089.0021,sky,Crealino/0021,19,25 SS,5,,1089,크레아리노,6,3.17 ,여유,🔵,3,1,,크레아리노,1089.0021,sky,🔵,,1089.0021
03052012,1089.0022,beige,Crealino/0022,12,25 SS,5,,1089,크레아리노,6,2.00 ,양호,🟢,3,1,,크레아리노,1089.0022,beige,🟢,,1089.0022
02205112,1089.0026,stone,Crealino/0026,13,25 SS,5,,1089,크레아리노,6,2.17 ,여유,🔵,3,1,,크레아리노,1089.0026,stone,🔵,,1089.0026
02205113,1089.0028,tangarine,Crealino/0028,19,생산종료,5,,1089,크레아리노,6,3.17 ,여유,🔵,3,1,,크레아리노,1089.0028,tangarine,🔵,,1089.0028
02205114,1089.0029,coral,Crealino/0029,28,25 SS,5,,1089,크레아리노,6,4.67 ,여유,🔵,3,1,,크레아리노,1089.0029,coral,🔵,,1089.0029
02205115,1089.0039,camel,Crealino/0039,5,25 SS,5,,1089,크레아리노,6,0.83 ,낱볼,🔴,3,1,,크레아리노,1089.0039,camel,🔴,,1089.0039
00433,1089.0046,dark lilac,Crealino/0046,9,25 SS,5,,1089,크레아리노,6,1.50 ,양호,🟢,3,1,,크레아리노,1089.0046,dark lilac,🟢,,1089.0046
02205116,1089.0050,gold,Crealino/0050,19,25 SS,5,,1089,크레아리노,6,3.17 ,여유,🔵,3,1,,크레아리노,1089.0050,gold,🔵,,1089.0050
02205021,1089.0058,mint,Crealino/0058,24,25 SS,5,,1089,크레아리노,6,4.00 ,여유,🔵,3,1,,크레아리노,1089.0058,mint,🔵,,1089.0058
02205117,1089.0059,orange,Crealino/0059,17,25 SS,5,,1089,크레아리노,6,2.83 ,여유,🔵,3,1,,크레아리노,1089.0059,orange,🔵,,1089.0059
02205118,1089.0060,red,Crealino/0060,10,25 SS,5,,1089,크레아리노,6,1.67 ,양호,🟢,3,1,,크레아리노,1089.0060,red,🟢,,1089.0060
02205119,1089.0062,burgundy,Crealino/0062,19,25 SS,5,,1089,크레아리노,6,3.17 ,여유,🔵,3,1,,크레아리노,1089.0062,burgundy,🔵,,1089.0062
02205120,1089.0065,fuchsia,Crealino/0065,20,25 SS,5,,1089,크레아리노,6,3.33 ,여유,🔵,3,1,,크레아리노,1089.0065,fuchsia,🔵,,1089.0065
02066146,1089.0073,emerald,Crealino/0073,10,26 SS,5,,1089,크레아리노,6,1.67 ,양호,🟢,3,1,,크레아리노,1089.0073(신상),emerald,🟢,(신상),1089.0073
02205022,1089.0074,atlantic,Crealino/0074,17,25 SS,5,,1089,크레아리노,6,2.83 ,여유,🔵,3,1,,크레아리노,1089.0074,atlantic,🔵,,1089.0074
02205121,1089.0079,turquoise,Crealino/0079,11,25 SS,5,,1089,크레아리노,6,1.83 ,양호,🟢,3,1,,크레아리노,1089.0079,turquoise,🟢,,1089.0079
02205122,1089.0085,light pink,Crealino/0085,18,25 SS,5,,1089,크레아리노,6,3.00 ,여유,🔵,3,1,,크레아리노,1089.0085,light pink,🔵,,1089.0085
02205123,1089.0091,sage méange,Crealino/0091,24,25 SS,5,,1089,크레아리노,6,4.00 ,여유,🔵,3,1,,크레아리노,1089.0091,sage méange,🔵,,1089.0091
02205124,1089.0094,offwhite,Crealino/0094,12,25 SS,5,,1089,크레아리노,6,2.00 ,양호,🟢,3,1,,크레아리노,1089.0094,offwhite,🟢,,1089.0094
02066147,1089.0097,light olive,Crealino/0097,10,26 SS,5,,1089,크레아리노,6,1.67 ,양호,🟢,3,1,,크레아리노,1089.0097(신상),light olive,🟢,(신상),1089.0097
00434,1089.0098,olive,Crealino/0098,16,25 SS,5,,1089,크레아리노,6,2.67 ,여유,🔵,3,1,,크레아리노,1089.0098,olive,🔵,,1089.0098
02205125,1089.0104,black/white,Crealino/0104,15,25 SS,5,,1089,크레아리노,6,2.50 ,여유,🔵,3,1,,크레아리노,1089.0104,black/white,🔵,,1089.0104
02066148,1089.0115,copper,Crealino/0115,10,26 SS,5,,1089,크레아리노,6,1.67 ,양호,🟢,3,1,,크레아리노,1089.0115(신상),copper,🟢,(신상),1089.0115
02205126,1089.0125,navy,Crealino/0125,20,25 SS,5,,1089,크레아리노,6,3.33 ,여유,🔵,3,1,,크레아리노,1089.0125,navy,🔵,,1089.0125
02205023,1089.0128,coral,Crealino/0128,16,25 SS,5,,1089,크레아리노,6,2.67 ,여유,🔵,3,1,,크레아리노,1089.0128,coral,🔵,,1089.0128
02066149,1089.0129,melon,Crealino/0129,10,26 SS,5,,1089,크레아리노,6,1.67 ,양호,🟢,3,1,,크레아리노,1089.0129(신상),melon,🟢,(신상),1089.0129
02066150,1089.0162,burgundy,Crealino/0162,9,26 SS,5,,1089,크레아리노,6,1.50 ,양호,🟢,3,1,,크레아리노,1089.0162(신상),burgundy,🟢,(신상),1089.0162
02205127,1089.0168,dark brown,Crealino/0168,7,25 SS,5,,1089,크레아리노,6,1.17 ,양호,🟢,3,1,,크레아리노,1089.0168,dark brown,🟢,,1089.0168
03173030,1090.0004,black,Pride/0004,13,,5,,1090,프라이드,4,3.25 ,여유,🔵,3,2,,프라이드,1090.0004,black,🔵,,1090.0004
03173031,1090.0006,cobalt,Pride/0006,6,,5,,1090,프라이드,4,1.50 ,양호,🟢,3,2,,프라이드,1090.0006,cobalt,🟢,,1090.0006
02104074,1090.0009,tulip,Pride/0009,10,24 SS,5,,1090,프라이드,4,2.50 ,여유,🔵,3,2,,프라이드,1090.0009,tulip,🔵,,1090.0009
03173032,1090.0013,citron,Pride/0013,19,,5,,1090,프라이드,4,4.75 ,여유,🔵,3,2,,프라이드,1090.0013,citron,🔵,,1090.0013
02104075,1090.0015,chocolate,Pride/0015,8,24 SS,5,,1090,프라이드,4,2.00 ,양호,🟢,3,2,,프라이드,1090.0015,chocolate,🟢,,1090.0015
03173033,1090.0017,cucumber,Pride/0017,12,,5,,1090,프라이드,4,3.00 ,여유,🔵,3,2,,프라이드,1090.0017,cucumber,🔵,,1090.0017
02104076,1090.0019,candyfloss,Pride/0019,11,24 SS,5,,1090,프라이드,4,2.75 ,여유,🔵,3,2,,프라이드,1090.0019,candyfloss,🔵,,1090.0019
03173034,1090.0021,cristal,Pride/0021,11,,5,,1090,프라이드,4,2.75 ,여유,🔵,3,2,,프라이드,1090.0021,cristal,🔵,,1090.0021
00151,1090.0023,silver,Pride/0023,12,,5,,1090,프라이드,4,3.00 ,여유,🔵,3,2,,프라이드,1090.0023,silver,🔵,,1090.0023
02032029,1090.0026,sand,Pride/0026,10,,5,,1090,프라이드,4,2.50 ,여유,🔵,3,2,,프라이드,1090.0026,sand,🔵,,1090.0026
03052018,1090.0027,peony,Pride/0027,6,생산종료,5,,1090,프라이드,4,1.50 ,양호,🟢,3,2,,프라이드,1090.0027,peony,🟢,,1090.0027
00171,1090.0029,coral,Pride/0029,16,,5,,1090,프라이드,4,4.00 ,여유,🔵,3,2,,프라이드,1090.0029,coral,🔵,,1090.0029
02032030,1090.0035,blueberry,Pride/0035,7,,5,,1090,프라이드,4,1.75 ,양호,🟢,3,2,,프라이드,1090.0035,blueberry,🟢,,1090.0035
00176,1090.0039,wood,Pride/0039,11,,5,,1090,프라이드,4,2.75 ,여유,🔵,3,2,,프라이드,1090.0039,wood,🔵,,1090.0039
03173035,1090.0044,lime,Pride/0044,18,,5,,1090,프라이드,4,4.50 ,여유,🔵,3,2,,프라이드,1090.0044,lime,🔵,,1090.0044
00152,1090.0047,lavender,Pride/0047,11,,5,,1090,프라이드,4,2.75 ,여유,🔵,3,2,,프라이드,1090.0047,lavender,🔵,,1090.0047
03173036,1090.0049,sunflower,Pride/0049,16,,5,,1090,프라이드,4,4.00 ,여유,🔵,3,2,,프라이드,1090.0049,sunflower,🔵,,1090.0049
03173037,1090.0059,orange,Pride/0059,15,생산종료,5,,1090,프라이드,4,3.75 ,여유,🔵,3,2,,프라이드,1090.0059,orange,🔵,,1090.0059
02104077,1090.0060,pomegranate,Pride/0060,17,24 SS,5,,1090,프라이드,4,4.25 ,여유,🔵,3,2,,프라이드,1090.0060,pomegranate,🔵,,1090.0060
02104078,1090.0061,beetroot,Pride/0061,9,24 SS,5,,1090,프라이드,4,2.25 ,여유,🔵,3,2,,프라이드,1090.0061,beetroot,🔵,,1090.0061
02104079,1090.0068,coffee,Pride/0068,14,24 SS,5,,1090,프라이드,4,3.50 ,여유,🔵,3,2,,프라이드,1090.0068,coffee,🔵,,1090.0068
00178,1090.0092,cactus,Pride/0092,14,,5,,1090,프라이드,4,3.50 ,여유,🔵,3,2,,프라이드,1090.0092,cactus,🔵,,1090.0092
02032032,1090.0094,offwhite,Pride/0094,15,,5,,1090,프라이드,4,3.75 ,여유,🔵,3,2,,프라이드,1090.0094,offwhite,🔵,,1090.0094
00153,1090.0099,mud,Pride/0099,16,생산종료,5,,1090,프라이드,4,4.00 ,여유,🔵,3,2,,프라이드,1090.0099,mud,🔵,,1090.0099
02066139,1090.0109,oleander,Pride/0109,5,26 SS,5,,1090,프라이드,4,1.25 ,양호,🟢,3,2,,프라이드,1090.0109(신상),oleander,🟢,(신상),1090.0109
02066140,1090.0110,lagoon,Pride/0110,10,26 SS,5,,1090,프라이드,4,2.50 ,여유,🔵,3,2,,프라이드,1090.0110(신상),lagoon,🔵,(신상),1090.0110
